"com.kompasgramedia.myvalue - New user acquisitions (All events, Per interval, Daily) and All user loss (All events, Per interval, Daily), by Android Version for 2019-04-06 - 2019-10-02 and 2019-03-07 - 2019-09-02"
,,Metric,"New user acquisitions (All events, Per interval, Daily)","All user loss (All events, Per interval, Daily)",Notes
,,Dimension,All Android versions,All Android versions
Period,Date
2019-04-06 - 2019-10-02,2019-08-21,,"1,006",670
2019-04-06 - 2019-10-02,2019-08-22,,"1,068",671
2019-04-06 - 2019-10-02,2019-08-23,,"1,262",644
2019-04-06 - 2019-10-02,2019-08-24,,"1,489",737
2019-04-06 - 2019-10-02,2019-08-25,,"1,237",690
2019-04-06 - 2019-10-02,2019-08-26,,717,598
2019-04-06 - 2019-10-02,2019-08-27,,779,609
2019-04-06 - 2019-10-02,2019-08-28,,639,523
2019-04-06 - 2019-10-02,2019-08-29,,814,550
2019-04-06 - 2019-10-02,2019-08-30,,812,492
2019-04-06 - 2019-10-02,2019-08-31,,"1,235",554
2019-04-06 - 2019-10-02,2019-09-01,,"1,151",562
2019-04-06 - 2019-10-02,2019-09-02,,780,474
2019-04-06 - 2019-10-02,2019-09-03,,"2,554",851
2019-04-06 - 2019-10-02,2019-09-04,,"1,484",755
2019-04-06 - 2019-10-02,2019-09-05,,996,697
2019-04-06 - 2019-10-02,2019-09-06,,"1,306",743
2019-04-06 - 2019-10-02,2019-09-07,,"1,585",771
2019-04-06 - 2019-10-02,2019-09-08,,"1,122",696
2019-04-06 - 2019-10-02,2019-09-09,,764,657,Rollout of release - Started rollout of 0.6.3 at 100%
2019-04-06 - 2019-10-02,2019-09-10,,765,683
2019-04-06 - 2019-10-02,2019-09-11,,865,675
2019-04-06 - 2019-10-02,2019-09-12,,798,783,"Rollout of release - Started rollout of 0.6.4 at 100%, Rollout of release - Started rollout of 0.6.5 at 100%"
2019-04-06 - 2019-10-02,2019-09-13,,"1,817",944,Rollout of release - Started rollout of 0.6.6 at 100%
2019-04-06 - 2019-10-02,2019-09-14,,"1,548",816
2019-04-06 - 2019-10-02,2019-09-15,,"1,282",770
2019-04-06 - 2019-10-02,2019-09-16,,768,714
2019-04-06 - 2019-10-02,2019-09-17,,"1,956",920
2019-04-06 - 2019-10-02,2019-09-18,,"1,092",828
2019-04-06 - 2019-10-02,2019-09-19,,"1,053",911
2019-04-06 - 2019-10-02,2019-09-20,,920,688
2019-04-06 - 2019-10-02,2019-09-21,,"1,359",888
2019-04-06 - 2019-10-02,2019-09-22,,984,730
2019-04-06 - 2019-10-02,2019-09-23,,745,626
2019-04-06 - 2019-10-02,2019-09-24,,706,598
2019-04-06 - 2019-10-02,2019-09-25,,743,635
2019-04-06 - 2019-10-02,2019-09-26,,"1,031",934,Rollout of release - Started rollout of 0.6.7 at 10%
2019-04-06 - 2019-10-02,2019-09-27,,"1,084",778
2019-04-06 - 2019-10-02,2019-09-28,,"1,352",907
2019-04-06 - 2019-10-02,2019-09-29,,913,770,Rollout of release - Increased rollout of 0.6.7 to 40%
2019-04-06 - 2019-10-02,2019-09-30,,583,733
2019-04-06 - 2019-10-02,2019-10-01,,-,-
2019-04-06 - 2019-10-02,2019-10-02,,-,-
2019-03-07 - 2019-09-02,2019-03-07,,441,226
2019-03-07 - 2019-09-02,2019-03-08,,365,181
2019-03-07 - 2019-09-02,2019-03-09,,515,205
2019-03-07 - 2019-09-02,2019-03-10,,484,190
2019-03-07 - 2019-09-02,2019-03-11,,337,199
2019-03-07 - 2019-09-02,2019-03-12,,353,204
2019-03-07 - 2019-09-02,2019-03-13,,380,191
2019-03-07 - 2019-09-02,2019-03-14,,365,199
2019-03-07 - 2019-09-02,2019-03-15,,368,184
2019-03-07 - 2019-09-02,2019-03-16,,511,228
2019-03-07 - 2019-09-02,2019-03-17,,450,187
2019-03-07 - 2019-09-02,2019-03-18,,383,240
2019-03-07 - 2019-09-02,2019-03-19,,371,214
2019-03-07 - 2019-09-02,2019-03-20,,503,273
2019-03-07 - 2019-09-02,2019-03-21,,472,272
2019-03-07 - 2019-09-02,2019-03-22,,418,219
2019-03-07 - 2019-09-02,2019-03-23,,567,213
2019-03-07 - 2019-09-02,2019-03-24,,427,221
2019-03-07 - 2019-09-02,2019-03-25,,235,186
2019-03-07 - 2019-09-02,2019-03-26,,701,392
2019-03-07 - 2019-09-02,2019-03-27,,453,304
2019-03-07 - 2019-09-02,2019-03-28,,516,336
2019-03-07 - 2019-09-02,2019-03-29,,516,308
2019-03-07 - 2019-09-02,2019-03-30,,964,357
2019-03-07 - 2019-09-02,2019-03-31,,903,378
2019-03-07 - 2019-09-02,2019-04-01,,559,304
2019-03-07 - 2019-09-02,2019-04-02,,532,309
2019-03-07 - 2019-09-02,2019-04-03,,599,294
2019-03-07 - 2019-09-02,2019-04-04,,433,270
2019-03-07 - 2019-09-02,2019-04-05,,478,274
2019-03-07 - 2019-09-02,2019-04-06,,612,310
2019-03-07 - 2019-09-02,2019-04-07,,819,409
2019-03-07 - 2019-09-02,2019-04-08,,767,381
2019-03-07 - 2019-09-02,2019-04-09,,615,374,Rollout of release - Started rollout of 0.5.3 at 100%
2019-03-07 - 2019-09-02,2019-04-10,,367,233
2019-03-07 - 2019-09-02,2019-04-11,,381,266
2019-03-07 - 2019-09-02,2019-04-12,,515,332
2019-03-07 - 2019-09-02,2019-04-13,,554,303
2019-03-07 - 2019-09-02,2019-04-14,,516,330
2019-03-07 - 2019-09-02,2019-04-15,,464,290
2019-03-07 - 2019-09-02,2019-04-16,,420,273
2019-03-07 - 2019-09-02,2019-04-17,,635,366
2019-03-07 - 2019-09-02,2019-04-18,,"1,046",368
2019-03-07 - 2019-09-02,2019-04-19,,726,382
2019-03-07 - 2019-09-02,2019-04-20,,681,330
2019-03-07 - 2019-09-02,2019-04-21,,648,379
2019-03-07 - 2019-09-02,2019-04-22,,589,324,Rollout of release - Started rollout of 0.5.4 at 100%
2019-03-07 - 2019-09-02,2019-04-23,,578,379
2019-03-07 - 2019-09-02,2019-04-24,,504,325
2019-03-07 - 2019-09-02,2019-04-25,,646,320
2019-03-07 - 2019-09-02,2019-04-26,,531,357
2019-03-07 - 2019-09-02,2019-04-27,,584,350
2019-03-07 - 2019-09-02,2019-04-28,,590,315
2019-03-07 - 2019-09-02,2019-04-29,,578,320
2019-03-07 - 2019-09-02,2019-04-30,,834,441
2019-03-07 - 2019-09-02,2019-05-01,,685,378
2019-03-07 - 2019-09-02,2019-05-02,,641,402
2019-03-07 - 2019-09-02,2019-05-03,,610,414
2019-03-07 - 2019-09-02,2019-05-04,,700,439
2019-03-07 - 2019-09-02,2019-05-05,,511,322
2019-03-07 - 2019-09-02,2019-05-06,,544,419,Rollout of release - Started rollout of 0.5.5 at 100%
2019-03-07 - 2019-09-02,2019-05-07,,367,268
2019-03-07 - 2019-09-02,2019-05-08,,527,424
2019-03-07 - 2019-09-02,2019-05-09,,452,365
2019-03-07 - 2019-09-02,2019-05-10,,543,417
2019-03-07 - 2019-09-02,2019-05-11,,593,358
2019-03-07 - 2019-09-02,2019-05-12,,590,367
2019-03-07 - 2019-09-02,2019-05-13,,534,389
2019-03-07 - 2019-09-02,2019-05-14,,507,398
2019-03-07 - 2019-09-02,2019-05-15,,537,375
2019-03-07 - 2019-09-02,2019-05-16,,387,291
2019-03-07 - 2019-09-02,2019-05-17,,684,503
2019-03-07 - 2019-09-02,2019-05-18,,558,350
2019-03-07 - 2019-09-02,2019-05-19,,636,464
2019-03-07 - 2019-09-02,2019-05-20,,478,374,Rollout of release - Started rollout of 0.5.6 at 100%
2019-03-07 - 2019-09-02,2019-05-21,,442,379
2019-03-07 - 2019-09-02,2019-05-22,,501,553
2019-03-07 - 2019-09-02,2019-05-23,,657,526
2019-03-07 - 2019-09-02,2019-05-24,,481,418
2019-03-07 - 2019-09-02,2019-05-25,,501,263
2019-03-07 - 2019-09-02,2019-05-26,,456,273
